MB_CODE_2016,MB_CODE_2021,RATIO_FROM_TO,INDIV_TO_REGION_QLTY_INDICATOR,OVERALL_QUALITY_INDICATOR,BMOS_NULL_FLAG
10005720000,10005720000,1,Good,Good,0
10005730000,10005730000,1,Good,Good,0
10005750000,10005750000,1,Good,Good,0
10005760000,10005760000,1,Good,Good,0
10005770000,10005770000,1,Good,Good,0
10005780000,10005780000,1,Good,Good,0
10005790000,10005790000,1,Good,Good,0
10005800000,10005800000,1,Good,Good,0
10005810000,10005810000,1,Good,Good,0
10005820000,10005820000,1,Good,Good,0
10005830000,10005830000,1,Good,Good,0
10005840000,10005840000,1,Good,Good,0
10005850000,10005850000,1,Good,Good,0
10005860000,10005860000,1,Good,Good,0
10005870000,10005870000,1,Good,Good,0
10005880000,10005880000,1,Good,Good,0
10005890000,10005890000,1,Good,Good,0
10005900000,10005900000,1,Good,Good,0
10005910000,10005910000,1,Good,Good,0
10005920000,10005920000,1,Good,Good,0
10005930000,10005930000,1,Good,Good,0
10005940000,10005940000,1,Good,Good,0
10005950000,10005950000,1,Good,Good,0
10005960000,10005960000,1,Good,Good,0
10005970000,10005970000,1,Good,Good,0
10005980000,10005980000,1,Good,Good,0
10005990000,10005990000,1,Good,Good,0
10006000000,10006000000,1,Good,Good,0
10006010000,10006010000,1,Good,Good,0
10006020000,10006020000,1,Good,Good,0
10006030000,10006030000,1,Good,Good,0
10006040000,10006040000,1,Good,Good,0
10006050000,10006050000,1,Good,Good,0
10006060000,10006060000,1,Good,Good,0
10006070000,10006070000,1,Good,Good,0
10006080000,10006080000,1,Good,Good,0
10006100000,10006100000,1,Good,Good,0
10006110000,10006110000,1,Good,Good,0
10006120000,10006120000,1,Good,Good,0
10006130000,10006130000,1,Good,Good,0
10006140000,10006140000,1,Good,Good,0
10006150000,10006150000,1,Good,Good,0
10006160000,10006160000,1,Good,Good,0
10006170000,10006170000,1,Good,Good,0
10006180000,10006180000,1,Good,Good,0
